"표준코드","단축코드","한글 종목명","한글 종목약명","영문 종목명","상장일","시장구분","증권구분","소속부","주식종류","액면가","상장주식수"
"KR7004251005","004255","NPC1우선주","NPC우","NPC(1P)","1990/01/15","KOSPI","주권","","구형우선주","500","5,280,000"
"KR7004250007","004250","NPC보통주","NPC","NPC","1969/09/08","KOSPI","주권","","보통주","500","36,720,000"
"KR7010060002","010060","OCI보통주","OCI","OCI","1985/07/09","KOSPI","주권","","보통주","5,000","23,849,371"
"KR7010951002","010955","S-Oil1우선주","S-Oil우","S-Oil(1P)","1992/05/28","KOSPI","주권","","구형우선주","2,500","4,021,927"
"KR7010950004","010950","S-Oil보통주","S-Oil","S-OilCorporation","1987/05/27","KOSPI","주권","","보통주","2,500","112,582,792"
"KR8392070007","950110","SBI핀테크솔루션즈","SBI핀테크솔루션즈","SBI FinTech Solutions Co., Ltd.","2012/12/17","KOSDAQ","주식예탁증권","외국기업(소속부없음)","보통주","무액면","24,048,040"
"KR7101060002","101060","SBS미디어홀딩스보통주","SBS미디어홀딩스","SBS Media Holdings","2008/03/24","KOSPI","주권","","보통주","500","139,896,190"
"KR7005090006","005090","SGC에너지보통주","SGC에너지","SGC Energy","1993/01/06","KOSPI","주권","","보통주","5,000","14,677,004"
"KR7001380005","001380","SG글로벌보통주","SG글로벌","SG GLOBAL","1976/06/29","KOSPI","주권","","보통주","500","44,964,143"
"KR7002360006","002360","SH에너지화학보통주","SH에너지화학","SH ENERGY & CHEMICAL","1985/12/23","KOSPI","주권","","보통주","500","111,133,730"
"KR7009160003","009160","SIMPAC보통주","SIMPAC","SIMPACInc","1989/07/29","KOSPI","주권","","보통주","500","65,429,516"
"KR7123700007","123700","SJM보통주","SJM","SJM CO.,LTD","2010/05/31","KOSPI","주권","","보통주","500","15,604,898"
"KR7025530007","025530","SJM홀딩스보통주","SJM홀딩스","SJM HOLDINGS","1997/02/12","KOSPI","주권","","보통주","500","14,934,008"
"KR703473K016","03473K","SK1우선주","SK우","SK(1P)","2015/08/17","KOSPI","주권","","종류주권","200","566,135"
"KR7011790003","011790","SKC보통주","SKC","SKC","1997/07/18","KOSPI","주권","","보통주","5,000","37,868,298"
"KR7018670000","018670","SK가스보통주","SK가스","SKGas","1997/08/27","KOSPI","주권","","보통주","5,000","9,230,244"
"KR7001741008","001745","SK네트웍스1우선주","SK네트웍스우","SKNetworksCo.,Ltd(1P)","1989/12/21","KOSPI","주권","","구형우선주","2,500","113,648"
"KR7001740000","001740","SK네트웍스보통주","SK네트웍스","SKNetworksCo.,Ltd","1977/06/30","KOSPI","주권","","보통주","2,500","248,187,647"
"KR7210980009","210980","SK디앤디보통주","SK디앤디","SK D&D Co., Ltd","2015/06/23","KOSPI","주권","","보통주","1,000","18,990,164"
"KR7034730002","034730","SK보통주","SK","SK Holdings","2009/11/11","KOSPI","주권","","보통주","200","70,360,297"
"KR7361610009","361610","SK아이이테크놀로지보통주","SK아이이테크놀로지","SK ie technology","2021/05/11","KOSPI","주권","","보통주","1,000","71,297,592"
"KR7096771001","096775","SK이노베이션 1우선주","SK이노베이션우","SK Innovation(1P)","2007/07/25","KOSPI","주권","","구형우선주","5,000","1,248,426"
"KR7096770003","096770","SK이노베이션 보통주","SK이노베이션","SK Innovation","2007/07/25","KOSPI","주권","","보통주","5,000","92,465,564"
"KR7001511005","001515","SK증권1우선주","SK증권우","SKSecurities(1P)","1989/08/29","KOSPI","주권","","구형우선주","500","3,912,514"
"KR7001510007","001510","SK증권보통주","SK증권","SKSecurities","1986/09/20","KOSPI","주권","","보통주","500","472,590,171"
"KR728513K010","28513K","SK케미칼1우선주","SK케미칼우","SKCHEMICALS(1P)","2018/01/05","KOSPI","주권","","종류주권","5,000","1,458,670"
"KR7285130001","285130","SK케미칼보통주","SK케미칼","SKCHEMICALS","2018/01/05","KOSPI","주권","","보통주","5,000","11,751,396"
"KR7017670001","017670","SK텔레콤보통주","SK텔레콤","SKTelecom","1989/11/07","KOSPI","주권","","보통주","500","72,060,143"
"KR7064960008","064960","SNT모티브보통주","SNT모티브","SNT MOTIV","2002/03/11","KOSPI","주권","","보통주","5,000","14,623,136"
"KR7100840008","100840","SNT에너지보통주","SNT에너지","SNTEnergy Co.,Ltd.","2008/02/22","KOSPI","주권","","보통주","500","7,506,711"
"KR7003570009","003570","SNT중공업보통주","SNT중공업","SNT DYNAMICS","1976/07/08","KOSPI","주권","","보통주","2,500","33,252,697"
"KR7036530004","036530","SNT홀딩스보통주","SNT홀딩스","SNT Holdings","2002/10/22","KOSPI","주권","","보통주","500","16,303,886"
"KR7005610001","005610","SPC삼립보통주","SPC삼립","SPC SAMLIP","1975/05/02","KOSPI","주권","","보통주","5,000","8,629,009"
"KR7011810009","011810","STX보통주","STX","STX","1990/09/12","KOSPI","주권","","보통주","2,500","20,068,300"
"KR7077970002","077970","STX엔진보통주","STX엔진","STXEngineCo.,Ltd","2004/05/10","KOSPI","주권","","보통주","2,500","23,008,904"
"KR7071970008","071970","STX중공업보통주","STX중공업","STX Heavy Industries","2009/05/15","KOSPI","주권","","보통주","2,500","28,365,976"
"KR7084870005","084870","TBH글로벌보통주","TBH글로벌","TBH GLOBAL","2005/12/19","KOSPI","주권","","보통주","500","20,856,819"
"KR7002710002","002710","TCC스틸보통주","TCC스틸","TCC STEEL","1984/12/21","KOSPI","주권","","보통주","1,000","23,500,000"
"KR7024070005","024070","WISCOM보통주","WISCOM","WISCOM","1996/11/22","KOSPI","주권","","보통주","500","15,326,438"
"KR7079940003","079940","가비아","가비아","GABIA, Inc.","2005/10/19","KOSDAQ","주권","우량기업부","보통주","500","13,535,684"
"KR7078890001","078890","가온미디어","가온미디어","KAON Media Co., Ltd.","2005/07/12","KOSDAQ","주권","우량기업부","보통주","500","15,851,946"
"KR7000500009","000500","가온전선보통주","가온전선","GAONCABLE","1987/06/08","KOSPI","주권","","보통주","5,000","4,160,347"
"KR7036620003","036620","감성코퍼레이션","감성코퍼레이션","GAMSUNG Corporation","2000/01/11","KOSDAQ","주권","중견기업부","보통주","500","70,747,735"
"KR7000860007","000860","강남제비스코보통주","강남제비스코","KANGNAM JEVISCO","1975/11/12","KOSPI","주권","","보통주","1,000","6,500,000"
"KR7217730001","217730","강스템바이오텍","강스템바이오텍","KANGSTEM BIOTECH CO., LTD.","2015/12/21","KOSDAQ","주권","기술성장기업부","보통주","500","25,561,688"
"KR7114190002","114190","강원","강원","KANGWON Co., Ltd.","2009/11/20","KOSDAQ","주권","중견기업부","보통주","500","18,154,911"
"KR7035250000","035250","강원랜드보통주","강원랜드","Kangwon Land, Inc.","2003/09/04","KOSPI","주권","","보통주","500","213,940,500"
"KR7094480001","094480","갤럭시아머니트리","갤럭시아머니트리","GalaxiaMoneytree Co.,Ltd.","2007/07/20","KOSDAQ","주권","우량기업부","보통주","500","39,229,838"
"KR7011420007","011420","갤럭시아에스엠보통주","갤럭시아에스엠","GALAXIA SM","1989/11/14","KOSPI","주권","","보통주","500","27,549,644"
"KR7063080006","063080","게임빌","게임빌","GAMEVIL. INC","2009/07/30","KOSDAQ","주권","우량기업부","보통주","500","6,595,192"
"KR7039240007","039240","경남스틸","경남스틸","Kyeong Nam Steel Co., LTD","2000/03/07","KOSDAQ","주권","우량기업부","보통주","100","25,000,000"
"KR7053950002","053950","경남제약","경남제약","KYUNG NAM PHARM.CO.,LTD.","2001/11/06","KOSDAQ","주권","중견기업부","보통주","500","17,442,567"
"KR7223310004","223310","경남제약헬스케어","경남제약헬스케어","KYUNG NAM PHARM HEALTH CARE CO., LTD.","2015/12/24","KOSDAQ","주권","관리종목(소속부없음)","보통주","100","11,396,461"
"KR7002100006","002100","경농보통주","경농","Kyungnong","1977/06/30","KOSPI","주권","","보통주","500","19,522,575"
"KR7009450008","009450","경동나비엔보통주","경동나비엔","KYUNGDONGNAVIEN","1993/08/31","KOSPI","주권","","보통주","1,000","13,604,730"
"KR7267290005","267290","경동도시가스보통주","경동도시가스","KYUNGDONG CITY GAS","2017/05/12","KOSPI","주권","","보통주","2,500","5,895,406"
"KR7012320008","012320","경동인베스트보통주","경동인베스트","KYUNGDONG INVEST","1997/03/07","KOSPI","주권","","보통주","5,000","2,365,023"
"KR7011040003","011040","경동제약","경동제약","KyungdongPharm","1992/12/18","KOSDAQ","주권","우량기업부","보통주","500","30,768,766"
"KR7000050005","000050","경방보통주","경방","Kyungbang","1956/03/03","KOSPI","주권","","보통주","500","27,415,270"
"KR7214390007","214390","경보제약보통주","경보제약","KYONGBO PHARMACEUTICAL CO., LTD.","2015/06/29","KOSPI","주권","","보통주","500","23,906,860"
"KR7012610002","012610","경인양행보통주","경인양행","KyunginSynthetic","1995/10/05","KOSPI","주권","","보통주","500","41,496,365"
"KR7009140005","009140","경인전자보통주","경인전자","KyunginElectronics","1989/06/20","KOSPI","주권","","보통주","5,000","1,570,797"
"KR7024910002","024910","경창산업","경창산업","KyungchangIndustrial","1994/12/29","KOSDAQ","주권","중견기업부","보통주","500","35,819,005"
"KR7013580006","013580","계룡건설산업보통주","계룡건설","KyeryongConstructionIndustrial","1996/01/30","KOSPI","주권","","보통주","5,000","8,930,907"
"KR7012201000","012205","계양전기1우선주","계양전기우","KeyangElectricMachinery(1P)","1989/08/02","KOSPI","주권","","구형우선주","500","1,400,000"
"KR7012200002","012200","계양전기보통주","계양전기","KeyangElectricMachinery","1988/07/06","KOSPI","주권","","보통주","500","32,600,000"
"KR7002140002","002140","고려산업보통주","고려산업","KoreaIndustrial","1991/01/14","KOSPI","주권","","보통주","1,000","24,939,425"
"KR7198440000","198440","고려시멘트","고려시멘트","KOREA CEMENT co., Ltd.","2014/08/13","KOSDAQ","주권","우량기업부","보통주","100","31,979,960"
"KR7049720006","049720","고려신용정보","고려신용정보","KORYO CREDIT INFORMATION CO., LTD.","2002/01/31","KOSDAQ","주권","중견기업부","보통주","500","14,300,000"
"KR7010130003","010130","고려아연보통주","고려아연","KoreaZinc","1990/07/28","KOSPI","주권","","보통주","5,000","18,870,000"
"KR7002240000","002240","고려제강보통주","고려제강","KISWire","1976/05/25","KOSPI","주권","","보통주","1,000","23,000,000"
"KR7014570006","014570","고려제약","고려제약","KOREAN DRUG CO., LTD.","2000/12/07","KOSDAQ","주권","우량기업부","보통주","500","11,000,000"
"KR7348150004","348150","고바이오랩","고바이오랩","KoBioLabs, Inc","2020/11/18","KOSDAQ","주권","기술성장기업부","보통주","500","16,161,543"
"KR7098460009","098460","고영테크놀러지","고영","Koh Young Technology Inc.","2008/06/03","KOSDAQ","주권","우량기업부","보통주","100","68,654,755"
"KR7035290006","035290","골드앤에스","골드앤에스","Gold&S","1999/12/07","KOSDAQ","주권","관리종목(소속부없음)","보통주","500","36,223,910"
"KR7038530002","038530","골드퍼시픽","골드퍼시픽","Gold Pacific Co.,Ltd","2000/06/09","KOSDAQ","주권","중견기업부","보통주","500","76,928,585"
"KR7215000001","215000","골프존","골프존","GOLFZON Co., Ltd.","2015/04/03","KOSDAQ","주권","우량기업부","보통주","500","6,275,415"
"KR7121440002","121440","골프존뉴딘홀딩스","골프존뉴딘홀딩스","GOLFZON NEWDIN HOLDINGS Co., Ltd.","2011/05/20","KOSDAQ","주권","중견기업부","보통주","500","42,836,818"
"KR7183410000","183410","골프존데카","골프존데카","GolfzonDeca","2013/11/12","KONEX","주권","일반기업부","보통주","500","4,111,161"
"KR7076340009","076340","관악산업","관악산업","GWANAK CONSTRUCTION AND EQUIPMENT SERVICE","2015/05/18","KONEX","주권","일반기업부","보통주","500","4,871,460"
"KR7009290008","009290","광동제약보통주","광동제약","KwangdongPharmaceutical","1989/11/17","KOSPI","주권","","보통주","1,000","52,420,851"
"KR7014200000","014200","광림","광림","KANGLIM Co., LTD.","1993/07/07","KOSDAQ","주권","중견기업부","보통주","500","52,922,234"
"KR7017040007","017040","광명전기보통주","광명전기","KWANG MYUNG ELECTRIC","1990/09/14","KOSPI","주권","","보통주","500","43,337,615"
"KR7017900002","017900","광전자보통주","광전자","AUK","1996/10/16","KOSPI","주권","","보통주","500","57,943,763"
"KR7037710001","037710","광주신세계보통주","광주신세계","GwangjuShinsegae","2002/02/07","KOSPI","주권","","보통주","5,000","1,600,000"
"KR7026910000","026910","광진실업","광진실업","KwangjinInd","1996/01/03","KOSDAQ","주권","중견기업부","보통주","500","6,405,405"
"KR7090150004","090150","광진윈텍","광진윈텍","KWANGJIN WINTEC CO., LTD","2006/10/20","KOSDAQ","주권","중견기업부","보통주","500","9,658,393"
"KR7355150004","355150","교보10호기업인수목적","교보10호스팩","Kyobo 10 Special Purpose Acquisition Company","2020/09/18","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","5,320,000"
"KR7331520007","331520","교보9호기업인수목적","교보9호스팩","Kyobo 9 Special Purpose Acquisition Company","2019/10/29","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","3,880,000"
"KR7030610000","030610","교보증권보통주","교보증권","KYOBOSECURITIESCO.,LTD.","2002/07/18","KOSPI","주권","","보통주","5,000","64,653,296"
"KR7339770000","339770","교촌에프앤비보통주","교촌에프앤비","KYOCHON FOOD&BEVERAGE","2020/11/12","KOSPI","주권","","보통주","500","24,982,540"
"KR7053270005","053270","구영테크","구영테크","GUYOUNGTECHNOLOGY COMPANY LIMITED","2002/02/07","KOSDAQ","주권","중견기업부","보통주","500","26,394,174"
"KR7007690001","007690","국도화학보통주","국도화학","KukdoChemical","1989/08/05","KOSPI","주권","","보통주","5,000","5,810,616"
"KR7005320007","005320","국동보통주","국동","Kukdong","1996/12/24","KOSPI","주권","","보통주","500","52,563,769"
"KR7066620006","066620","국보디자인","국보디자인","KUKBO DESIGN","2002/09/05","KOSDAQ","주권","우량기업부","보통주","500","7,500,000"
"KR7001140003","001140","국보보통주","국보","KUKBO","1989/12/02","KOSPI","주권","","보통주","500","53,766,273"
"KR7043650001","043650","국순당","국순당","KOOK SOON DANG CO., LTD.","2000/08/24","KOSDAQ","주권","우량기업부","보통주","500","17,858,304"
"KR7006050009","006050","국영지앤엠","국영지앤엠","KUK YOUNG G&M","1994/10/07","KOSDAQ","주권","중견기업부","보통주","500","34,895,243"
"KR7060480001","060480","국일신동","국일신동","KUKIL METAL CO., LTD","2014/12/29","KOSDAQ","주권","중견기업부","보통주","500","11,090,000"
"KR7078130002","078130","국일제지","국일제지","KUK-IL PAPER MFG CO.,LTD","2004/10/22","KOSDAQ","주권","중견기업부","보통주","100","127,468,093"
"KR7307750000","307750","국전약품","국전약품","KUKJEON PHARMACEUTICAL Co.,Ltd","2018/12/19","KOSDAQ","주권","우량기업부","보통주","100","38,538,019"
"KR7002720001","002720","국제약품보통주","국제약품","Kukje Pharma","1975/12/27","KOSPI","주권","","보통주","1,000","19,276,090"
"KR7243870003","243870","굿센","굿센","Goodcen","2016/10/31","KONEX","주권","일반기업부","보통주","500","1,457,951"
"KR7114090004","114090","그랜드코리아레저보통주","GKL","Grand Korea Leisure","2009/11/19","KOSPI","주권","","보통주","500","61,855,670"
"HK0000307485","900290","그레이트리치과기유한공사","GRT","Great Rich Technologies Limited","2016/10/25","KOSDAQ","외국주권","관리종목(소속부없음)","보통주","무액면","67,375,000"
"KR7204020002","204020","그리티","그리티","GRITEE, Inc.","2018/07/23","KOSDAQ","주권","중견기업부","보통주","500","20,147,430"
"KR7083420000","083420","그린케미칼보통주","그린케미칼","GREEN CHEMICAL","2005/10/20","KOSPI","주권","","보통주","500","24,000,000"
"KR7186230009","186230","그린플러스","그린플러스","GREEN PLUS Co., Ltd","2019/08/07","KOSDAQ","주권","벤처기업부","보통주","500","9,607,742"
"KR7014530000","014530","극동유화보통주","극동유화","KukdongOil&Chem.","1991/01/31","KOSPI","주권","","보통주","500","34,869,420"
"KR7083450007","083450","글로벌스탠다드테크놀로지","GST","Global Standard Technology Co., Ltd.","2006/02/01","KOSDAQ","주권","우량기업부","보통주","500","9,317,745"
